text,label
"Отличный фильм, актеры играют прекрасно",1
"Ужасный фильм, глупый сюжет",0
"Великолепный фильм, сценарий потрясающий",1
"Замечательные актёры, играют невероятно правдиво",1
"Красивые съёмки, завораживающая атмосфера фильма",1
Фантастический саундтрек дополняет всю картину,1
"Просто шикарный фильм, достойный внимания каждого",1
Фильм оставляет сильное впечатление и заставляет задуматься,1
Сюжет увлекателен и держит зрителя в напряжении до конца,1
"Скучный фильм, смотреть было невыносимо",0
"Актёрская игра слабая, совсем не убедительно",0
"Странный монтаж, картина выглядит неряшливо",0
Музыкальное сопровождение раздражающее и неуместное,0
"Нелепые диалоги, абсурдные ситуации",0
Просмотр утомил своей бессмысленностью,0
"Общее разочарование, потраченное впустую время",0
